id,naziv,adresa,pbroj,mesto,opstina,okrug,suprava,www,tel,fax,vrsta,odeljenja,gps
146,"Браћа Барух","Деспота Ђурђа 2",11000,Београд,"Стари град","Град Београд",Београд,http://osbracabaruh.edu.rs/,0112183541,0112638344,"Основна школа",18,"44.82572796065439,20.45907497406006"
133,"Петар Петровић Његош","Ресавска 61",11000,Београд,"Савски венац","Град Београд",Београд,http://osppnjegos.edu.rs,0113612545,0113612545,"Основна школа",16,"44.80239107374215,20.46027660369873"
11,"Филип Филиповић","Булевар ослобођења 317",11000,Београд,Вождовац,"Град Београд",Београд,http://www.filipfilipovic.edu.rs,0113098280,0112469629,"Основна школа",29,"44.76337726164511,20.479508310490928"
147,Скадарлија,"Француска 26",11000,Београд,"Стари град","Град Београд",Београд,http://osskadarlija.edu.rs,7246244,7246244,"Основна школа",21,"44.81859744382163,20.464890003204346"
134,"Исидора Секулић","Гаврила Принципа 42",11000,Београд,"Савски венац","Град Београд",Београд,https://www.isidorasekulic.rs,7614735,7610066,"Основна школа",15,"44.80498080598859,20.454483032226562"
148,"Дринка Павловић","Косовска 19",11000,Београд,"Стари град","Град Београд",Београд,http://www.drinka.rs,0113238688,0113243957,"Основна школа",32,"44.813337456644526,20.465152859687805"
18,"Свети Сава","Авалска 8",11000,Београд,Врачар,"Град Београд",Београд,http://www.ossvetisavabg.edu.rs/,0112433639,0112438511,"Основна школа",28,"44.80009355959623,20.470082759857178"
19,"Јован Миодраговић","Војводе Драгомира 1",11000,Београд,Врачар,"Град Београд",Београд,http://www.osjovanmiodragovic.edu.rs,0112437056,0112437056,"Основна школа",40,"44.79984423803137,20.479081571102142"
135,"Радојка Лакић","Др Александра Костића 1-7",11000,Београд,"Савски венац","Град Београд",Београд,http://www.rlakic.edu.rs,0113619713,0113619713,"Основна школа",16,"44.806694,20.457365"
176,"Драган Ковачевић","Шафарикова 8",11000,Београд,"Стари град","Град Београд",Београд,http://www.osdragankovacevic.edu.rs,0113225236,0113223328,"Основна школа",19,"44.8160402880635,20.466188192367554"
110,"Ослободиоци Београда","Прерадовићева 2",11000,Београд,Палилула,"Град Београд",Београд,http://www.oslobodioci.com,0117293765,0117293766,"Основна школа",22,"44.81255636138774,20.484067797660828"
20,"Краљ Петар II Карађорђевић","Марулићева 8",11000,Београд,Врачар,"Град Београд",Београд,http://www.oskraljpetardrugi.nasaskola.rs/,"0117444621, 7444-649, 643-1122",0117444649,"Основна школа",20,"44.79495465312467,20.480468273162842"
111,"Влада Аксентијевић","Поенкареова 8",11000,Београд,Палилула,"Град Београд",Београд,http://www.osvladaaksentijevic.edu.rs,2762261,2767285,"Основна школа",20,"44.819117, 20.475832 "
21,"НХ Синиша Николајевић","Тимочка 24",11000,Београд,Врачар,"Град Београд",Београд,http://osnhsinisanikolajevic.nasaskola.rs,0112836610,0112836610,"Основна школа",20,"44.795777, 20.486889"
137,"Војвода Радомир Путник","Бошка Петровића 6",11000,Београд,"Савски венац","Град Београд",Београд,http://www.osvojvodaputnik.edu.rs,0112667224,0113670017,"Основна школа",26,"44.77793589631623,20.4620361328125"
165,"Миодраг Матић","Браће Јерковић 5",11010,Београд,Вождовац,"Град Београд",Београд,http://osmiodragmatic.edu.rs,0113096110,0112469143,"Основна школа",13,0
7,"Милан Ђ. Милићевић","Боривоја Стефановића 27а",11010,Београд,Вождовац,"Град Београд",Београд,http://www.osmilandjmilicevic.edu.rs/,0112889498,0112889497,"Основна школа",49,"44.7751332217051,20.504779815673828"
10,"Веселин Маслеша","Кумодрашка 72, Вождовац",11010,Београд,Вождовац,"Град Београд",Београд,http://www.osveselinmaslesa.edu.rs,2471675,2471675,"Основна школа",33,"44.7802025,20.4785452,17z/data=!3m1!4b1!4m2!3m1!1s0x475a705e77f42a65:0xa18dd4d6496d2d76"
1847,"Данило Киш","Генерала Штефаника 6",11010,"Београд, Степа Степановић",Вождовац,"Град Београд",Београд,http://osdanilokis.edu.rs,0117856845,0,"Основна школа",16,"44.759408, 20.488493"
155,"Милош Црњански","Ђорђа Огњановића 2",11030,Београд,Чукарица,"Град Београд",Београд,http://www.oscrnjanski.edu.rs,0112396745,0112396746,"Основна школа",20,"44.764412497814874,20.418460965156555"
149,"Јосиф Панчић","Пожешка 52",11030,Београд,Чукарица,"Град Београд",Београд,http://www.osjosifpancic.rs/,3554845,3552743,"Основна школа",48,"44.781164896234394,20.418691635131836"
177,"Милоје Павловић","Милосава Влајића 1",11030,Београд,Чукарица,"Град Београд",Београд,http://www.osmilojepavlovic.edu.rs,0113552153,0113552153,"Основна школа",19,"44.778206,20.416144"
150,"Бановић Страхиња","Кнеза Вишеслава 15",11030,Београд,Чукарица,"Град Београд",Београд,http://osbanovicstrahinja.nasaskola.rs/index.php,3059023,7702992,"Основна школа",35,"44.779429, 20.423626"
151,"Филип Кљајић Фића","Николаја Гогоља 40",11030,Београд,Чукарица,"Град Београд",Београд,http://www.fica.edu.rs/page.php?n=naslovna,0114084618,0113542114,"Основна школа",34,"44.7755825727148,20.412297248840332"
173,"Антон Скала","Петра Чајковског 2а, Београд",11040,Београд,"Савски венац","Град Београд",Београд,http://www.antonskala.rs,0112650589,0112650589,"Основна школа",16,"44.78614436069661,20.440507650391737"
3,"Бора Станковић","Паунова 19а",11040,Београд,Вождовац,"Град Београд",Београд,http://wwwosborastankovic-beograd.net,0113983590,0113983588,"Основна школа",33,"44.757933397839565,20.47747492790222"
132,"Стефан Немања","Лубе Јовановића 2а",11040,Београд,"Савски венац","Град Београд",Београд,http://www.ossnemanja.znanje.info,0113690484,0113690480,"Основна школа",16,"44.791277199139486,20.439891815185547"
12,"Бранислав Нушић","Заплањска 45",11040,Београд,Вождовац,"Град Београд",Београд,http://nusicbg.org/,0112460763,0113974835,"Основна школа",31,"44.77403648591524,20.478515625"
136,"Војвода Мишић","Др Милутина Ивковића  4",11040,Београд,"Савски венац","Град Београд",Београд,http://www.osvojvodamisic.edu.rs,0112647742,0112647740,"Основна школа",15,"44.7881591741593,20.464270412921906"
41,"Стеван Синђелић","Милића Ракића 1",11050,Београд,Звездара,"Град Београд",Београд,http://www.ssindjelic.edu.rs,0113474075,0113474075,"Основна школа",29,"44.78695227434207,20.46855926513672"
42,"Ћирило и Методије","Учитељска 58",11050,Београд,Звездара,"Град Београд",Београд,http://www.oscirilo.edu.rs,2884265,2887174,"Основна школа",36,"44.78661723143206,20.507826805114746"
43,"1300 каплара","Панчина 1",11050,Београд,Звездара,"Град Београд",Београд,http://www.1300kaplara.edu.rs,0112418326,0112411519,"Основна школа",20,"44.80458496966463,20.49825668334961"
168,"Бошко Буха","21. Дивизије 31",11050,Београд,Звездара,"Град Београд",Београд,http://www.boskobuha.edu.rs,2417174,2402393,"Основна школа",16,"44.802914, 20.493804"
30,"Десанка Максимовић","Устаничка 246",11050,Београд,Звездара,"Град Београд",Београд,http://www.osdesankamaksimovic.edu.rs,2890131,3047446,"Основна школа",32,"44.782779328475684,20.5159592628479"
9,"Доситеј Обрадовић","Максима Горког 94",11050,Београд,Вождовац,"Град Београд",Београд,http://osdositejobradovic.rs,6446738,7442188,"Основна школа",20,"44.788718832071865,20.479647517204285"
31,"Вељко Дугошевић","Милана Ракића 41",11050,Београд,Звездара,"Град Београд",Београд,http://www.osveljkodugosevic.edu.rs,0113086971,0113086971,"Основна школа",27,"44.79760797334,20.501259"
34,"Драгојло Дудић","Булевар краља Александра бр, 525",11050,Београд,Звездара,"Град Београд",Београд,http://www.osdragojlodudic.edu.rs/,3047099,3047099,"Основна школа",29,"44.77594052779665,20.534793734550476"
35,"Иван Горан Ковачић","Војводе Бране 18а",11050,Београд,Звездара,"Град Београд",Београд,http://wwwskolaigk.edu.rs,0112404533,0113087264,"Основна школа",29,"44.803842769236425,20.484877824783325"
36,"Јелена Ћетковић","Врањска 26",11050,Београд,Звездара,"Град Београд",Београд,http://www.jelena.edu.rs,0112418741,0112417275,"Основна школа",39,"44.79535816900447,20.495617389678955"
37,"Марија Бурсаћ","Милана Ракића 81",11050,Београд,Звездара,"Град Београд",Београд,http://osmb.edu.rs,3088042,3088042,"Основна школа",24,"44.79546475763371,20.51023006439209"
113,"Јован Цвијић","Данила Илића  1",11060,Београд,Палилула,"Град Београд",Београд,http://osjovancvijic.edu.rs,0112764558,0112763988,"Основна школа",14,"44.81678708820554,20.500391721725464"
114,"др. Арчибалд Рајс","Патриса Лумумбе 5",11060,Београд,Палилула,"Град Београд",Београд,http://www.osdrarajs.znanje.info,2772563,2089302,"Основна школа",23,"44.814914,20.513484"
115,"Јован Поповић","Maријане Грегоран 62",11060,Београд,Палилула,"Град Београд",Београд,http://osjovanpopovic.znanje.info,0112783305,0112970754,"Основна школа",30,"44.81507675884422,20.51250457763672"
116,"Стеван Дукић",Дантеова,11060,Београд,Палилула,"Град Београд",Београд,http://www.osstevandukic.com,0112970147,0112086047,"Основна школа",27,"44.824708282300236,20.41259765625"
1848,"Милена Павловић Барили","Романа Ролана 67",11060,Београд,Палилула,"Град Београд",Београд,http://www.osmilenapavlovicbarili.rs,0112782290,0112782201,"Основна школа",32,"44.81804226145196,20.534708037980636"
117,"Филип Вишњић","Салвадора Аљендеа бр.17",11060,Београд,Палилула,"Град Београд",Београд,https://www.osvisnjic.znanje.info,0112784581,0112783933,"Основна школа",29,"44.78475923091046,20.44281005859375"
123,"Иван Милутиновић","Маршала Тита 101",11060,Вишњица,Палилула,"Град Београд",Београд,http://osivanmilutinovic.edu.rs,0112773965,0112757789,"Основна школа",12,"44.830734776208374,20.547692656473373"
197,"Школа за основно образовање одраслих Браћа Стаменковић","Управа - Митрополита Петра 8, Школа - Војводе Миленка 33",11060,Београд,Палилула,"Град Београд",Београд,http://www.skolabracastamenkovic.edu.rs,0112763040,0112763040,"Основна школа",9,"44.80245349661653,20.46028733253479"
93,"Радоје Домановић","Булевар уметности 31",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.osradojedomanovic.edu.rs/,0113121447,0113121324,"Основна школа",31,"44.81414517983351,20.41307508945465"
94,"Влада Обрадовић Камени","Добановачка 2а",11070,Београд,"Нови Београд","Град Београд",Београд,http://www.oskameni.edu.rs,0112155476,0112154975,"Основна школа",16,"44.80335176985907,20.346508026123047"
95,"Јован Стерија Поповић","Војвођанска 61",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.sterija.edu.rs,0117189601,0117189602,"Основна школа",43,"44.80750800464254,20.37712812423706"
96,"Милан Ракић","Војвођанска бр.62",11070,Београд,"Нови Београд","Град Београд",Београд,https://www.osrakic.znanje.info,0112278574,0113017479,"Основна школа",27,"44.808313,20.3751071,16z"
97,"Кнегиња Милица","Јурија Гагарина 78",11070,Београд,"Нови Београд","Град Београд",Београд,http://www.oskneginjamilica.edu.rs,0116158031,0116277061,"Основна школа",39,"44.801802620401325,20.3788822889328"
98,Младост,"Гандијева 99",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.skolamladost.edu.rs,2177984,2177984,"Основна школа",40,"44.481850,20.23264"
83,"Надежда Петровић","Луја Адамича 4",11070,Београд,"Нови Београд","Град Београд",Београд,http://osnovnaskola.rs,2601295,2605758,"Основна школа",21,"44.83088885443941,20.406516417860985"
99,"Бранко Радичевић","Јурија Гагарина 195",11070,Београд,"Нови Београд","Град Београд",Београд,http://brankoradicevic-nbgd.edu.rs,0112158639,0112158639,"Основна школа",44,"44.799789, 20.375637"
84,"Марко Орешковић","Отона Жупанчича 30",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.osmarkooreskovic.edu.rs,3192033,3192032,"Основна школа",23,"44.83110760677593,20.40813446044922"
100,"Драган Лукић","Неде Спасојевић 6",11070,"Бежанијска коса","Нови Београд","Град Београд",Београд,http://osdraganlukic.rs/,2281765,2281765,"Основна школа",43,"44.814081,20.370380"
85,"Краљ Александар I","Алексиначких рудара 22",11070,Београд,"Нови Београд","Град Београд",Београд,http://www.skolakraljaleksandar.edu.rs,2603847,2670555,"Основна школа",31,"44.81604959339546,20.473022419027984"
101,"20. октобар","Омладинских бригада 138",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.os20oktobar.znanje.info,0116156059,,"Основна школа",47,"44.80000220525478,20.39608597755432"
86,"Борислав Пекић","Данила Лекића Шпанца 27",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.skola-pekic.edu.rs,3182484,3187375,"Основна школа",40,"44.816482, 20.388198"
87,"Душко Радовић","Булевар Зорана Ђинђића 112",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.duskoradovic.edu.rs,0112601786,0113193844,"Основна школа",32,"44.77793589631623,20.4400634765625"
172,"Нови Београд","Народних хероја 12",11070,Београд,"Нови Београд","Град Београд",Београд,http://www.osnovibeograd.rs,0113017491,0113017491,"Основна школа",22,"44.825167, 20.406755"
88,"Ратко Митровић","Омладинских бригада 58",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.osrm.edu.rs,0113111779,0113111779,"Основна школа",17,"44.81811798575506,20.40335476398468"
89,"Ђуро Стругар","Милутина Миланковића 148",11070,Београд,"Нови Београд","Град Београд",Београд,http://djurostrugar.edu.rs,6141144,6140126,"Основна школа",16,"44.819376,20.399898"
90,"Иван Гундулић","Народних хероја  12",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.ivangundulic.edu.rs,2694043,2697590,"Основна школа",17,"44.83639545410479,20.401611328125"
91,"Лаза Костић","Милентија Поповића 72",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://www.oslazakostic.znanje.info,7118746,7130656,"Основна школа",42,"44.806662, 20.427444"
92,"Јован Дучић","Милентија Поповића 16",11070,"Нови Београд","Нови Београд","Град Београд",Београд,http://jovanducic.edu.rs,0112142537,0113018702,"Основна школа",27,"44.8131846634415,20.43155550956726"
45,"Мајка Југовића","Градски парк 9",11080,Земун,Земун,"Град Београд",Београд,http://majkajugovica.edu.rs,0113076301,0113076301,"Основна школа",26,"44.84085360735241,20.410897135734558"
170,"Радивој Поповић","Призренска 37",11080,Београд,Земун,"Град Београд",Београд,http://www.osradivojpopovic.edu.rs,0113076423,0113076402,"Основна школа",10,"44.85381528767016,20.383028984069824"
46,"Светозар Милетић","Немањина 25",11080,Београд,Земун,"Град Београд",Београд,https://www.osmiletic.edu.rs,0112617243,0112617243,"Основна школа",35,"44.84019936072491,20.413241386413574"
47,"Лазар Саватић","Кеј ослобођења 27",11080,Земун,Земун,"Град Београд",Београд,http://www.lazarsavatic.edu.rs,0113165386,0113160989,"Основна школа",30,"44.845592, 20.414969"
185,"Михајло Пупин","Емилије Јакшић 31a",11080,"Нова Галеника",Земун,"Град Београд",Београд,"http://www.ospupinzemun.edu.rs ",0113752300,0113752307,"Основна школа",33,"44.85754199147864,20.369532108306885"
48,"Раде Кончар","Златиборска 44",11080,Земун,Земун,"Град Београд",Београд,http://www.osradekoncar.edu.rs,0112611125,0112107968,"Основна школа",30,"44.83916907103963,20.394389288812818"
196,"Бранко Пешић","Светотројичина 4",11080,Земун,Земун,"Град Београд",Београд,http://www.osbrankopesic.edu.rs,0113167133,0113167134,"Основна школа",23,"44.85046485113805,20.396681427955627"
49,Сутјеска,"Задругарска 1",11080,Београд,Земун,"Град Београд",Београд,http://sutjeskazemun.edu.rs,0113169441,0113160965,"Основна школа",18,"44.842648943651994,20.38114070892334"
50,"Петар Кочић","Првомајска 79",11080,Земун,Земун,"Град Београд",Београд,https://ospetarkociczemun.rs,0119196149,0112196149,"Основна школа",24,"44.840892, 20.385172"
51,"Гаврило Принцип","Крајишка 34",11080,Београд,Земун,"Град Београд",Београд,http://www.osgavriloprincip.znanje.info/,0112194294,0113161752,"Основна школа",32,"44.84012328505351,20.37262201309204"
52,"Соња Маринковић","Аласка 17",11080,Земун,Земун,"Град Београд",Београд,http://www.ossonjazemun.edu.rs,3077522,2612753,"Основна школа",24,"44.85102998941968,20.388691664265934"
53,"Горња Варош","Добановачка 72",11080,Београд,Земун,"Град Београд",Београд,http://www.gornjavaros.edu.rs,0112108195,0113167778,"Основна школа",25,"44.850337, 20.395284"
54,"Сава Јовановић Сирогојно","Призренска 37",11080,Београд,Земун,"Град Београд",Београд,http://www.skolasirogojno.edu.rs,3165882,3165882,"Основна школа",24,"44.853381, 20.384075"
125,"Ђура Јакшић","Канарево брдо 2",11090,Београд,Раковица,"Град Београд",Београд,http://osdjurajaksicrakovica.nasaskola.rs/,0113582264,0113582264,"Основна школа",23,"44.75320597700578,20.45001983642578"
127,"Владимир Роловић","Омладинско шеталиште10",11090,Кијево,Раковица,"Град Београд",Београд,http://www.osvrolovic.edu.rs,0112332882,0112332971,"Основна школа",28,"44.722865, 20.432151"
128,"Бранко Ћопић","Видиковачки венац 73",11090,Видиковац,Раковица,"Град Београд",Београд,http://www.osbrankocopic.edu.rs,0112335091,0112331111,"Основна школа",53,"44.741145207306815,20.420449823141098"
129,"14. октобар","Гочка 40",11090,Кнежевац,Раковица,"Град Београд",Београд,http://www.os14oktobar.edu.rs,2337978,2330336,"Основна школа",32,"44.728412114702806,20.42233943939209"
130,"Франце Прешерн","Станка Пауновића Вељка 45",11090,Раковица,Раковица,"Град Београд",Београд,http://www.francepresern.edu.rs/,0113583164,0113583164,"Основна школа",26,"45.49787675480007,20.37304684985429"
131,"Иво Андрић","Ивана Мичурина 38а",11090,Раковица,Раковица,"Град Београд",Београд,http://osivoandric.rs/,0113594239,0113594239,"Основна школа",44,"44.750498729801656,20.456725358963013"
124,"Никола Тесла","Др Миливоја Петровића 6",11090,"Београд Раковица",Раковица,"Град Београд",Београд,http://osnikolatesla.znanje.info,3582563,3581176,"Основна школа",44,"44.77793589631623,20.4840087890625"
112,"Старина Новак","Кнез Данилова 33-37",11120,Београд,Палилула,"Град Београд",Београд,http://www.starina.rs,0113239234,0113347633,"Основна школа",28,"44.80946802976978,20.477861166000366"
32,"Владислав Петковић ДИС","Радослава Љумовића 20",11126,Београд,Звездара,"Град Београд",Београд,http://osdis.edu.rs,3461507,3461507,"Основна школа",24,"44.758763799275386,20.529016256332397"
179,"Милоје Васић","Драгољуба Стојановића 11д",11130,Калуђерица,Гроцка,"Град Београд",Београд,http://osmilojevasic.edu.rs,0113415838,0114066233,"Основна школа",30,"44.756494,20.559477"
24,"Алекса Шантић","Краља Петра I 9",11130,Београд,Гроцка,"Град Београд",Београд,https://www.osas.edu.rs,0113410655,0113410655,"Основна школа",49,"44.76485812348698,20.55665373802185"
154,"Љуба Ненадовић","Аце Јоксимовића 25",11132,Београд,Чукарица,"Град Београд",Београд,http://osljubanenadovic.nasaskola.rs,0112512093,0112512093,"Основна школа",43,"44.75813338092769,20.419161692261696"
156,"Уједињене нације","Борова 8",11136,Београд,Чукарица,"Град Београд",Београд,http://www.un.znanje.info,0112510067,0112510067,"Основна школа",55,"44.747708578336145,20.47199249267578"
152,"Мирослав Антић","Црвено барјаче 6",11147,Жарково,Чукарица,"Град Београд",Београд,http://www.miroslavantic.edu.rs,0112512730,0112399109,"Основна школа",45,"44.753011691163955,20.407533645629883"
153,"Ђорђе Крстић","Живка Настића-Бабе бр.12",11147,Београд,Чукарица,"Град Београд",Београд,http://osdjordjekrstic.nasaskola.rs/,0112512217,0112512440,"Основна школа",48,"44.82392905027813,20.42797849047929"
44,"Павле Савић","Косте Нађа 25",11160,Београд,Звездара,"Град Београд",Београд,https://ospavlesavic.wordpress.com/,0113430358,0113430358,"Основна школа",64,"44.79188346221401,20.540902465581894"
39,"Деспот Стефан Лазаревић","Нова 15",11160,Београд,Звездара,"Град Београд",Београд,http://www.despotos.edu.rs,3429875,3429872,"Основна школа",53,"44.792586795540394,20.52821159362793"
55,"Илија Бирчанин","Браће Крњешевац 2",11185,"Земун Поље",Земун,"Град Београд",Београд,http://ilijabircanin.edu.rs,3753813,3753816,"Основна школа",49,"44.868872731534346,20.324159860610962"
163,"Аца Милосављевић","Школска 7",11194,Рушањ,Чукарица,"Град Београд",Београд,http://www.osamrusanj.znanje.info,0118000406,0118000406,"Основна школа",17,"44.683728144452374,20.4390549659729"
118,"Зага Маливук","Грге Андријановића 18",11210,Крњача,Палилула,"Град Београд",Београд,http://www.oszagamalivuk.edu.rs,2711999,2711999,"Основна школа",29,"44.834058185558625,20.51422119140625"
121,"Васа Пелагић","Милана Зечара 2",11210,"Београд, Котеж",Палилула,"Град Београд",Београд,http://osvasapelagic.edu.rs,0112712982,0112712278,"Основна школа",54,"44.850376, 20.470965"
119,"Стеван Сремац","Трг ослобођења бр. 3",11211,Београд,Палилула,"Град Београд",Београд,http://www.osstevansremac.edu.rs,3326017,3326580,"Основна школа",44,"44.87273531971295,20.45555591583252"
120,"Раде Драинац","Ковиловска 1",11211,Београд,Палилула,"Град Београд",Београд,http://osradedrainacpalilulanasaskola,2085414,3322950,"Основна школа",59,"44.87436239539944,20.448989868164062"
1314,"Јован Ристић","Беле Бартока 48а",11211,Београд,Палилула,"Град Београд",Београд,http://osjovanristic.edu.rs,0112722616,0112723669,"Основна школа",39,"44.876573,20.452457."
1845,"Краљица Марија","Михаја Еминескуа 65",11212,Београд,Палилула,"Град Београд",Београд,http://oskraljicamarija.edu.rs,0112731495,0112731495,"Основна школа",17,"44.869009599324826,20.5609130859375"
122,"Олга Петров","Падинска Скела 9",11213,"Падинска Скела",Палилула,"Град Београд",Београд,http://www.osolgapetrov.edu.rs,0118871763,0116300471,"Основна школа",26,"44.945731,20.427057"
13,"Војвода Степа","Војводе Степе 520",11221,Београд,Вождовац,"Град Београд",Београд,http://www.osvojvodastepabeograd.nasaskola.rs,0113945259,0113945259,"Основна школа",32,"44.73825929807637,20.504436492919922"
14,Јајинци,"Илије Петровића 12",11222,Београд,Вождовац,"Град Београд",Београд,http://www.osjajinci.com,0113941826,0113940310,"Основна школа",20,"44.736329245064034,20.486779510974884"
17,"Васа Чарапић","Авалска 48а",11223,"Бели Поток",Вождовац,"Град Београд",Београд,http://www.os-vasacarapic.com/,0113906988,0113906981,"Основна школа",22,"44.702166368143665,20.5087548494339"
27,"Свети Сава","29. новембра 15",11224,Врчин,Гроцка,"Град Београд",Београд,http://os-svetisava.edu.rs,8053467,8056016,"Основна школа",26,"44.735027899515465,20.533447265625"
126,"Коста Абрашевић","Милорада Јанковића Доце 34",11231,Београд,Раковица,"Град Београд",Београд,http://oskostaabrasevic.wordpress.com,0118041792,0118041793,"Основна школа",48,"44.758436211143476,20.4400634765625"
15,"Вук Караџић","Ерчанска 3",11232,Рипањ,Вождовац,"Град Београд",Београд,http://www.osvukripanj.nasaskola.rs,8650591,8650480,"Основна школа",22,"44.640494, 20.521042"
139,"Цана Марјановић","Бате Мирковића 23",11233,Раља,Сопот,"Град Београд",Београд,http://www.canamarjanovic.edu.rs,0118257013,0118257350,"Основна школа",24,"44.56999859553927,20.560859441757202"
140,"Милорад Мића Марковић","Трг братства и јединства 8",11233,"Мала Иванча",Сопот,"Град Београд",Београд,http://www.osmiloradmarkovic.edu.rs,0118253202,0118253202,"Основна школа",8,"44.58468306228034,20.607401132583618"
16,"Војвода Путник","Пут за колонију 12",11234,Рипањ,Вождовац,"Град Београд",Београд,http://vojvodaputnikripanj.edu.rs/,0118650139,0118650139,"Основна школа",12,"44.667993 20.499472"
157,"Владимир Назор","Милана Мијалковића 11",11250,Београд,Чукарица,"Град Београд",Београд,http://vladimirnazor.edu.rs,2571757,2572563,"Основна школа",32,"44.731160, 20.419636"
158,"Браћа Јерковић","Стјепана Супанца 15",11250,Железник,Чукарица,"Град Београд",Београд,http://www.osbracajerkovic.edu.rs,0112572121,0112570766,"Основна школа",36,"44.73000,20.385206"
160,Карађорђе,"Вука Караџића број 11",11251,Остружница,Чукарица,"Град Београд",Београд,http://www.oskaradjordjeostruznica.nasaskola.rs,8071264,8071264,"Основна школа",16,"44.727173476416716,20.31966984272003"
161,"Вук Караџић","Школска  4",11253,Сремчица,Чукарица,"Град Београд",Београд,http://osvukkaradzic.co.rs,2526114,2526114,"Основна школа",40,"44.676953912213165,20.395474433898926"
162,"Душко Радовић","Томаса Едисона 3",11253,Сремчица,Чукарица,"Град Београд",Београд,http://osduskoradovicsremcica.nasaskola.rs,2526612,2526612,"Основна школа",32,"44.690898, 20.383072"
159,"Доситеј Обрадовић","Милије Станојловића 10",11260,Умка,Чукарица,"Град Београд",Београд,http://www.osdositejobradovic.edu.rs,0118025802,0118026723,"Основна школа",19,"44.677289591019665,20.306124687194824"
164,"Бранко Радичевић","10. октобар 10",11262,"Велика Моштаница",Чукарица,"Град Београд",Београд,http://www.osnovnaskolabrankoradicevic.com,0118075434,0118075680,"Основна школа",14,"44.66805771527807,20.353975296020508"
59,"Вук Караџић","Братства јединства број 1",11271,Сурчин,Сурчин,"Град Београд",Београд,http://.oskaradzicsurcin.nasaskola.rs,0118440124,0118440120,"Основна школа",26,"44.79569887125324,20.29087632894516"
